2014-03-24T10:45:41.496    50958     29.3829871     77.9954549      0.037      0.028
2014-03-24T10:45:42.495    50958     29.3802695     77.9956553      0.038      0.030
2014-03-24T10:45:43.502    50616     29.3775471     77.9958524      0.050      0.040
2014-03-24T10:45:44.500    51642     29.3749352     77.9960745      0.049      0.048
2014-03-24T10:45:45.500    50958     29.3722605     77.9962776      0.068      0.053
2014-03-24T10:45:46.502    51300     29.3694970     77.9964823      0.081      0.037
2014-03-24T10:45:47.501    51300     29.3668182     77.9966696      0.077      0.036
2014-03-24T10:45:48.501    51300     29.3642150     77.9968373      0.063      0.041
2014-03-24T10:45:49.500    51300     29.3615761     77.9969996      0.048      0.042
2014-03-24T10:45:50.500    51300     29.3588584     77.9971544      0.041      0.038
2014-03-24T10:45:51.503    50616     29.3561550     77.9972984      0.044      0.043
2014-03-24T10:45:52.498    51300     29.3535245     77.9974328      0.040      0.041
2014-03-24T10:45:53.497    50616     29.3508913     77.9975610      0.047      0.032
2014-03-24T10:45:54.499    50616     29.3482515     77.9976751      0.051      0.032
2014-03-24T10:45:55.497    51300     29.3456535     77.9977916      0.049      0.032
2014-03-24T10:45:56.502    50958     29.3430587     77.9979032      0.016      4.202
2014-03-24T10:45:57.499    50616     29.3405282     77.9980239      0.018      1.528
2014-03-24T10:45:58.501    50616     29.3380104     77.9981528      0.021      0.033
2014-03-24T10:45:59.501    51300     29.3354708     77.9982785      0.023      0.033
2014-03-24T10:46:00.497    50274     29.3328859     77.9984391      0.040      0.043
2014-03-24T10:46:01.504    50616     29.3302212     77.9985832      0.023      3.042
2014-03-24T10:46:02.499    51300     29.3275695     77.9987075      0.037      0.052
2014-03-24T10:46:03.501    50616     29.3249091     77.9988245      0.015      3.840
2014-03-24T10:46:04.502    50274     29.3222669     77.9989527      0.023      3.043
2014-03-24T10:46:05.495    50274     29.3196450     77.9990710      0.031      0.050
2014-03-24T10:46:06.496    50616     29.3171102     77.9991820      0.020      0.030
2014-03-24T10:46:07.492    50274     29.3146355     77.9993099      0.018      0.025
2014-03-24T10:46:08.502    51300     29.3120814     77.9994530      0.033      0.036
2014-03-24T10:46:09.502    51300     29.3094962     77.9995857      0.042      0.051
2014-03-24T10:46:10.499    50958     29.3069019     77.9997228      0.045      0.055
2014-03-24T10:46:11.505    49932     29.3043177     77.9998344      0.036      0.054
2014-03-24T10:46:12.502    50616     29.3018615     77.9999519      0.034      0.065
2014-03-24T10:46:13.497    50958     29.2993642     78.0000738      0.042      0.072
2014-03-24T10:46:14.502    50958     29.2967960     78.0002152      0.049      0.063
2014-03-24T10:46:15.500    50274     29.2942435     78.0003471      0.048      0.056
